timestamp_utc,experiment,noise,p,shots,idle_steps,seed,state,method,n,basis,decode_mode,kept_fraction,success,counts
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.05,4000,4,12345,0,bitflip_rep_n7,7,Z,majority,1.0,0.97775,"{'0001001': 51, '0101010': 8, '0000001': 241, '0100000': 225, '0001000': 220, '0110111': 2, '1111100': 3, '1000110': 11, '0000000': 1075, '0110010': 11, '0101110': 4, '0000101': 44, '0101101': 1, '0110011': 6, '1000010': 53, '0000100': 209, '0100001': 46, '0001010': 45, '0011110': 2, '1100000': 46, '0010001': 59, '0111100': 5, '0100100': 66, '0000111': 13, '0110000': 49, '1000001': 51, '1000100': 38, '0000010': 197, '0110001': 7, '0000110': 45, '1000000': 227, '0010000': 214, '0111000': 9, '0110100': 8, '0101100': 11, '1000101': 8, '0000011': 43, '1001101': 3, '1110001': 3, '0100010': 38, '1010000': 30, '0011000': 47, '1010011': 6, '0010010': 45, '0100111': 1, '1110100': 1, '1001010': 11, '0001110': 11, '1001100': 12, '0100011': 11, '0001100': 50, '1110000': 10, '1100010': 5, '0010011': 14, '1100001': 8, '1010001': 10, '1001000': 48, '0101000': 59, '1011000': 5, '0010100': 49, '0011100': 8, '0100110': 7, '1110101': 1, '0101001': 7, '1111000': 3, '0011001': 8, '1010010': 5, '1101000': 9, '1101100': 4, '1110111': 1, '1001011': 4, '0101011': 4, '1011101': 1, '1100100': 9, '1000011': 7, '0001011': 8, '0001111': 1, '1101010': 1, '1010100': 6, '1111001': 1, '0001101': 9, '1100101': 1, '1001001': 13, '1011100': 3, '0011010': 6, '0010101': 7, '1100110': 1, '1010101': 5, '0100101': 7, '0111001': 3, '1100111': 3, '1011001': 4, '0011101': 3, '1010110': 1, '1110010': 1, '0011011': 1, '1101001': 2, '1011010': 2, '0010110': 2, '1100011': 1}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.05,4000,4,12345,0,bitflip_stabilizer_n3,3,Z,majority,1.0,0.91925,"{'00000': 2272, '00001': 444, '00011': 467, '11100': 14, '00010': 494, '11101': 112, '11111': 107, '11110': 90}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.06,4000,4,12345,0,baseline_n1,1,Z,majority,1.0,0.80825,"{'0': 3233, '1': 767}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.06,4000,4,12345,0,bitflip_rep_n3,3,Z,majority,1.0,0.89475,"{'000': 1996, '010': 528, '001': 532, '100': 523, '101': 124, '011': 137, '110': 131, '111': 29}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.06,4000,4,12345,0,bitflip_rep_n5,5,Z,majority,1.0,0.944,"{'10001': 93, '00000': 1273, '11100': 20, '00010': 351, '10000': 351, '01001': 85, '10100': 77, '00011': 83, '00101': 90, '00001': 321, '10111': 7, '01000': 340, '10010': 96, '00100': 317, '01100': 81, '11000': 67, '10110': 19, '01110': 25, '00110': 76, '01011': 12, '11010': 20, '01010': 75, '00111': 17, '01101': 25, '11011': 6, '11001': 20, '10101': 27, '10011': 12, '11101': 5, '11111': 1, '01111': 5, '11110': 3}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.06,4000,4,12345,0,bitflip_rep_n7,7,Z,majority,1.0,0.9605,"{'1111010': 1, '1000100': 56, '0000010': 224, '0001000': 192, '1111100': 1, '1000110': 15, '0000000': 854, '0110110': 3, '0101010': 12, '0000001': 199, '0010000': 212, '0111111': 1, '0100001': 54, '0001010': 55, '0100011': 13, '0111101': 1, '0001100': 51, '1001000': 41, '0111100': 1, '0100100': 52, '0001001': 60, '0011101': 3, '1100001': 16, '1100100': 15, '0011010': 19, '0000101': 49, '1000011': 19, '0110010': 11, '0101110': 6, '0101111': 2, '0110001': 10, '0000110': 51, '1000000': 221, '1000010': 53, '0000100': 191, '1100010': 8, '1010100': 9, '0011000': 63, '1011000': 9, '0010100': 40, '0000011': 57, '0110100': 18, '0101100': 13, '1000101': 20, '0101000': 49, '0010010': 41, '1000001': 45, '1111101': 2, '0000111': 12, '0110000': 65, '0010011': 18, '1001111': 1, '1110011': 1, '0100000': 195, '1110001': 3, '1001101': 4, '0111110': 1, '0100010': 61, '0001011': 14, '0100110': 11, '0111010': 4, '0011110': 5, '1100000': 47, '1010000': 61, '1010001': 18, '0011001': 11, '0001110': 13, '0111011': 1, '0100101': 11, '1101000': 6, '0111000': 15, '1001001': 13, '1011100': 2, '0010001': 59, '0010110': 13, '1110100': 5, '1001010': 13, '1110110': 1, '1001100': 12, '1111001': 2, '1111000': 3, '0101001': 10, '0110111': 3, '1101100': 5, '0010101': 7, '1100011': 5, '0011111': 1, '0100111': 2, '1001110': 2, '1110000': 11, '0001101': 9, '0010111': 7, '1101001': 5, '0110101': 5, '0101011': 3, '1111011': 1, '1000111': 4, '0011100': 13, '0001111': 6, '1101010': 2, '1010011': 3, '1101110': 1, '0101101': 6, '0110011': 6, '1011010': 4, '1011011': 3, '1101011': 3, '1110010': 3, '1010010': 7, '1011001': 1, '1010101': 2, '0011011': 8, '0111001': 2, '1011101': 1, '1010110': 3, '1001011': 2, '1100101': 1, '1100111': 2, '1100110': 2}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.06,4000,4,12345,0,bitflip_stabilizer_n3,3,Z,majority,1.0,0.895,"{'00000': 2068, '00001': 484, '11101': 132, '11100': 31, '00010': 522, '00011': 506, '11111': 137, '11110': 120}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.07,4000,4,12345,0,baseline_n1,1,Z,majority,1.0,0.7825,"{'1': 870, '0': 3130}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.07,4000,4,12345,0,bitflip_rep_n3,3,Z,majority,1.0,0.866,"{'000': 1822, '010': 559, '100': 552, '001': 531, '011': 173, '101': 159, '110': 160, '111': 44}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.07,4000,4,12345,0,bitflip_rep_n5,5,Z,majority,1.0,0.92,"{'01010': 100, '00001': 323, '00100': 314, '00010': 322, '11100': 32, '10010': 117, '10001': 90, '10110': 39, '10100': 88, '00011': 110, '00000': 1076, '01100': 88, '01000': 323, '11000': 93, '01011': 32, '00101': 98, '00110': 95, '01110': 28, '11001': 22, '10000': 347, '10101': 23, '01001': 96, '00111': 31, '10011': 33, '01101': 24, '11010': 26, '10111': 4, '11011': 8, '11110': 5, '01111': 6, '11111': 1, '11101': 6}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.07,4000,4,12345,0,bitflip_rep_n7,7,Z,majority,1.0,0.955,"{'1000010': 55, '0000100': 219, '0010000': 205, '0101010': 21, '0110110': 5, '1000111': 7, '0000001': 219, '0000000': 649, '0100011': 16, '0001100': 61, '0010010': 59, '1000100': 49, '1111010': 4, '0000010': 190, '0001110': 16, '1001100': 16, '1110110': 3, '0100001': 63, '0001010': 48, '0000011': 50, '1000101': 17, '0101100': 13, '0110100': 15, '0011010': 11, '1100100': 19, '0100000': 205, '1001001': 19, '0111000': 28, '1011000': 23, '0010100': 60, '1001000': 67, '0101111': 1, '0110001': 16, '1000000': 216, '1111110': 3, '0000110': 61, '1100101': 4, '0001000': 173, '0000111': 17, '0110000': 54, '1000001': 65, '0101000': 64, '0011011': 10, '1100000': 44, '0101001': 14, '0001011': 13, '0111110': 2, '0100010': 45, '0000101': 47, '0101110': 8, '0110010': 10, '1011001': 5, '0001001': 51, '0111010': 5, '0100110': 23, '0011101': 3, '0010001': 53, '0010110': 19, '1101011': 1, '0011001': 14, '1101000': 20, '1010000': 50, '1010001': 12, '1010100': 18, '0011000': 59, '1010010': 21, '0011100': 13, '0001101': 15, '0111011': 1, '0100101': 20, '0111001': 7, '1111000': 5, '1000011': 14, '1001011': 5, '0111100': 3, '0100100': 49, '0010111': 5, '1110010': 5, '1100011': 6, '0110011': 5, '0101101': 2, '1110001': 3, '1001101': 7, '1001110': 1, '1110000': 19, '0010011': 13, '1100010': 14, '1110100': 4, '1001010': 23, '0010101': 19, '1101100': 3, '0101011': 3, '0110101': 4, '1000110': 15, '1111100': 2, '1100001': 14, '1010110': 8, '1011101': 2, '0100111': 2, '1100110': 3, '1011110': 2, '1101111': 1, '1011010': 3, '1110101': 2, '0011110': 5, '1010101': 4, '1010111': 1, '1010011': 4, '0011111': 1, '1101010': 3, '1101001': 2, '0110111': 2, '1011100': 2, '1110011': 1}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.07,4000,4,12345,0,bitflip_stabilizer_n3,3,Z,majority,1.0,0.87725,"{'00000': 1884, '00001': 517, '11101': 145, '11100': 38, '00010': 557, '00011': 551, '11111': 166, '11110': 142}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.08,4000,4,12345,0,baseline_n1,1,Z,majority,1.0,0.7585,"{'1': 966, '0': 3034}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.08,4000,4,12345,0,bitflip_rep_n3,3,Z,majority,1.0,0.843,"{'000': 1648, '001': 567, '011': 187, '010': 567, '100': 590, '101': 187, '110': 194, '111': 60}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.08,4000,4,12345,0,bitflip_rep_n5,5,Z,majority,1.0,0.89725,"{'11000': 115, '00001': 296, '00100': 345, '11101': 17, '10010': 109, '01100': 104, '10011': 41, '10110': 23, '01101': 44, '01000': 317, '00010': 286, '00000': 936, '01010': 99, '10100': 125, '00011': 121, '00110': 95, '10000': 324, '11010': 27, '01001': 113, '11001': 29, '11100': 31, '10101': 35, '10001': 108, '00101': 96, '00111': 37, '01110': 29, '01011': 46, '11011': 15, '01111': 16, '10111': 11, '11110': 8, '11111': 2}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.08,4000,4,12345,0,bitflip_rep_n7,7,Z,majority,1.0,0.927,"{'0110010': 24, '0101110': 10, '1000011': 19, '0000101': 71, '0010011': 20, '1111010': 2, '1000100': 68, '0000010': 195, '0110111': 5, '0000000': 523, '0010010': 52, '0000001': 179, '0010000': 162, '0011000': 60, '1000010': 65, '0000100': 168, '1010000': 69, '0000011': 53, '1000101': 22, '0101100': 24, '0110100': 16, '0010001': 74, '1101000': 23, '1110001': 8, '1001101': 8, '0111110': 2, '0100010': 71, '0000110': 67, '1000000': 192, '1111110': 3, '0110001': 17, '0101111': 4, '0011010': 23, '0001000': 172, '0100011': 22, '0111101': 3, '1001110': 9, '1110000': 12, '0001100': 54, '1110100': 7, '1001010': 23, '0100001': 61, '0001010': 57, '0100000': 169, '0110000': 64, '1111101': 1, '1000001': 63, '1001000': 50, '0111001': 6, '1100001': 14, '0001101': 25, '0111100': 6, '0100100': 62, '0101000': 58, '0111011': 2, '0100101': 24, '0001110': 14, '1110110': 3, '1001100': 19, '1001001': 21, '1100011': 7, '1100000': 58, '1011000': 18, '0010100': 65, '1111000': 9, '0100110': 8, '0111010': 8, '1101100': 10, '1010011': 8, '1100010': 16, '1011001': 10, '0010101': 18, '0001001': 46, '0011100': 22, '1011011': 3, '0001011': 24, '1111100': 4, '1000110': 15, '0101101': 7, '0110011': 5, '0000111': 24, '1000111': 7, '1111011': 1, '1010100': 19, '0010111': 5, '0101001': 18, '0010110': 16, '0001111': 3, '1011010': 5, '1010010': 11, '0011001': 21, '1010110': 8, '1010111': 1, '1101010': 5, '1110010': 8, '0110110': 3, '0101010': 20, '1100111': 3, '1010101': 7, '1100100': 15, '1100110': 5, '0111000': 16, '1101101': 2, '1010001': 17, '0100111': 3, '0011111': 6, '1110011': 1, '1001111': 3, '1011100': 7, '1011101': 4, '0011110': 9, '0011101': 4, '0101011': 3, '0110101': 8, '1001011': 10, '1101011': 3, '1101001': 4, '1100101': 9, '0011011': 2, '1101110': 1, '1110101': 1, '1011110': 1}"
2026-03-14T02:22:34.050611+00:00,bitflip,bitflip,0.08,4000,4,12345,0,bitflip_stabilizer_n3,3,Z,majority,1.0,0.85325,"{'00000': 1717, '00001': 564, '11101': 172, '11100': 56, '00010': 576, '00011': 556, '11111': 183, '11110': 176}"
